Re                            | Brutos
----------------------------------------------------------------------------------------------------
the: 5815                     | the: 5412
and: 3085                     | and: 2794
i: 3038                       | of: 2724
to: 2826                      | to: 2702
of: 2781                      | a: 2575
a: 2700                       | I: 2533
in: 1826                      | in: 1706
that: 1767                    | that: 1557
it: 1749                      | was: 1361
you: 1577                     | his: 1096
he: 1486                      | is: 1073
was: 1412                     | you: 1034
his: 1159                     | he: 1014
is: 1147                      | it: 977
my: 1007                      | my: 901
have: 931                     | have: 895
with: 877                     | with: 843
as: 863                       | had: 807
had: 831                      | as: 776
at: 782                       | which: 753
which: 778                    | at: 737
for: 752                      | for: 698
not: 664                      | be: 610
but: 655                      | not: 605
be: 644                       | from: 485
me: 635                       | upon: 460
we: 539                       | said: 447
this: 533                     | but: 439
there: 517                    | me: 414
from: 512                     | we: 413
said: 486                     | this: 409
upon: 467                     | been: 385
holmes: 466                   | very: 370
so: 450                       | her: 366
him: 434                      | your: 359
her: 430                      | “I: 349
she: 426                      | by: 338
all: 409                      | were: 336
your: 405                     | on: 334
very: 400                     | an: 329
no: 400                       | all: 320
been: 393                     | are: 319
what: 391                     | so: 316
on: 391                       | would: 313
s: 384                        | she: 305
one: 378                      | It: 290
by: 376                       | no: 286
then: 367                     | one: 283
are: 358                      | could: 280
were: 349                     | has: 277
an: 338                       | there: 275
would: 327                    | out: 272
out: 323                      | into: 272
when: 323                     | The: 271
man: 305                      | He: 264
up: 304                       | what: 264
do: 303                       | or: 259
could: 287                    | Mr.: 259
has: 286                      | little: 257
if: 282                       | when: 257
mr: 275                       | him: 253
or: 275                       | who: 253
into: 275                     | will: 251
who: 274                      | up: 249
will: 271                     | some: 227
little: 269                   | do: 217
some: 245                     | should: 206
now: 234                      | down: 204
see: 232                      | may: 201
down: 230                     | Holmes: 198
may: 213                      | our: 194
our: 211                      | man: 193
should: 211                   | if: 189
well: 201                     | see: 184
they: 201                     | am: 181
can: 189                      | shall: 170
am: 185                       | must: 168
us: 184                       | can: 165
over: 183                     | about: 163
about: 176                    | over: 162
more: 175                     | than: 160
think: 174                    | any: 157
know: 171                     | only: 155
must: 171                     | more: 151
shall: 171                    | other: 143
room: 171                     | came: 142
before: 168                   | they: 140
any: 165                      | before: 140
other: 164                    | know: 137
only: 163                     | You: 136
come: 162                     | think: 132
than: 161                     | two: 128
did: 153                      | did: 126
time: 151                     | us: 126
two: 148                      | Holmes,: 126
them: 147                     | “It: 124
came: 146                     | There: 121
how: 145                      | might: 118
door: 144                     | come: 117
here: 140                     | “You: 112
back: 139                     | just: 110
good: 137                     | it.: 110
face: 128                     | such: 110
where: 126                    | much: 107
just: 126                     | back: 106
might: 126                    | heard: 103
matter: 125                   | where: 102
yes: 125                      | made: 102
much: 121                     | time: 102
hand: 120                     | But: 100
house: 120                    | “And: 99
way: 118                      | found: 99
night: 118                    | Sherlock: 96
such: 118                     | how: 96
case: 117                     | now: 95
heard: 113                    | their: 95
found: 110                    | own: 94
made: 109                     | it,: 93
away: 109                     | then: 92
however: 108                  | never: 92
never: 108                    | like: 90
nothing: 108                  | after: 90
quite: 107                    | quite: 89
day: 107                      | however,: 89
right: 102                    | We: 89
morning: 101                  | most: 88
sherlock: 101                 | good: 87
own: 101                      | through: 85
tell: 99                      | saw: 84
go: 99                        | away: 84
after: 99                     | them: 84
gutenberg: 98                 | took: 84
t: 97                         | tell: 84
their: 97                     | She: 84
like: 97                      | And: 83
last: 95                      | me,: 83
most: 95                      | its: 83
say: 94                       | him.: 82
through: 93                   | Project: 80
left: 92                      | go: 80
work: 92                      | way: 79
oh: 90                        | St.: 79
saw: 89                       | without: 79
project: 89                   | face: 79
its: 89                       | Holmes.: 78
yet: 88                       | nothing: 78
miss: 88                      | few: 77
asked: 88                     | Miss: 77
long: 88                      | left: 76
took: 87                      | make: 76
eyes: 87                      | matter: 75
side: 87                      | small: 75
first: 86                     | every: 75
once: 86                      | door: 75
father: 83                    | last: 74
these: 83                     | take: 74
street: 83                    | you,: 74
too: 82                       | me.: 74
watson: 81                    | find: 74
small: 81                     | until: 73
without: 81                   | young: 73
st: 81                        | “The: 73
every: 81                     | A: 73
young: 81                     | long: 73
round: 81                     | case: 72
lady: 80                      | “But: 72
still: 80                     | say: 72
find: 80                      | As: 72
friend: 79                    | he,: 69
take: 79                      | Then: 68
sir: 78                       | these: 68
few: 77                       | put: 67
myself: 77                    | first: 67
thought: 77                   | “Well,: 67
make: 76                      | then,: 66
why: 76                       | seemed: 65
until: 75                     | If: 65
